	year	joined_carrier_name	joined_carrier	arr_del15	carrier_ct	late_aircraft_ct	carrier_delay_percentage	carrier_late_aircraft_ct	total_carrier_delay_percentage
44	2012	American Eagle Airlines Inc.	MQ	75466.0	20372.100000000006	26573.62000000004	0.26995070627832407	7173.567487371809	0.3650076522854241
45	2013	American Eagle Airlines Inc.	MQ	105983.0	23534.90999999998	42693.169999999984	0.2220630667182471	9480.576258123461	0.3115168117351221
46	2014	American Eagle Airlines Inc.	MQ	25045.0	5625.700000000005	8905.120000000008	0.22462367738071493	2000.3008019165538	0.30449194657283124
49	2003	Atlantic Southeast Airlines	EV	33840.0	10618.679999999995	7234.279999999997	0.3137907801418438	2270.050364964537	0.38087264671881005
50	2004	Atlantic Southeast Airlines	EV	58004.0	17844.580000000016	6077.769999999999	0.30764395558927	1869.789203961797	0.3398794773457316
51	2005	Atlantic Southeast Airlines	EV	74293.0	27086.74000000005	8787.430000000002	0.3645934341055018	3203.8392806617107	0.4077178103005904
52	2006	Atlantic Southeast Airlines	EV	85563.0	32885.530000000035	10063.840000000007	0.38434288185313786	3867.965268108886	0.4295489319929049
53	2007	Atlantic Southeast Airlines	EV	91327.0	44109.44000000006	15342.589999999986	0.4829835645537471	7410.218807686668	0.5641229735750296
54	2008	Atlantic Southeast Airlines	EV	66558.0	26401.289999999986	11489.849999999984	0.39666591544217056	4557.631868543217	0.465142009503639
55	2009	Atlantic Southeast Airlines	EV	78997.0	17196.11999999998	30444.97999999999	0.2176806714179017	6627.283687704587	0.30157352415540545
56	2010	Atlantic Southeast Airlines	EV	58295.0	18573.000000000015	23615.43999999999	0.3186036538296597	7523.965470795097	0.44767073455347994
57	2011	Atlantic Southeast Airlines	EV	71324.0	23694.469999999994	30772.47000000002	0.3322089338791991	10222.889451529643	0.47553922174204527
65	2003	Delta Air Lines Inc.	DL	115246.0	30637.66999999998	18582.66999999998	0.2658458428058239	4940.125567732494	0.3087117606488075
66	2004	Delta Air Lines Inc.	DL	251007.0	65586.61	49511.56999999997	0.26129394797754646	12937.073595866643	0.3128346364677744
67	2005	Delta Air Lines Inc.	DL	249067.0	71777.79999999992	55765.17000000003	0.28818671281221486	16070.781031714349	0.3527106402362186
68	2006	Delta Air Lines Inc.	DL	210111.0	61050.66000000001	48313.36999999997	0.29056384482487835	14038.118543646926	0.35737671299287965
69	2007	Delta Air Lines Inc.	DL	219694.0	62651.98999999996	50188.24000000004	0.28517842999808807	14312.603487567256	0.3503263333890193
70	2008	Delta Air Lines Inc.	DL	176058.0	46874.79999999997	40625.689999999995	0.26624635063444985	10816.441704506462	0.3276831595525703
